tempAvgT,setPointT,relaystateT,Kpt,KiT,KdT,InputT,OutputT,tempAvgB,setPointB,relayStateB,KpB,KiB,KdB,InputB,OutputB
190,144,0,50,0,0,190,0,190,182,0,50,0,0,190,0,0
196,144,0,50,0,0,196,0,196,182,0,50,0,0,196,0,0
196,144,0,50,0,0,196,0,196,182,0,50,0,0,196,0,0
198,144,0,50,0,0,198,0,198,182,0,50,0,0,198,0,0
199,144,0,50,0,0,199,0,199,182,0,50,0,0,199,0,0
195,144,0,50,0,0,195,0,195,182,0,50,0,0,195,0,0
194,144,0,50,0,0,194,0,193,182,0,50,0,0,193,0,0
191,144,0,50,0,0,191,0,189,182,0,50,0,0,189,0,0
189,144,0,50,0,0,189,0,187,182,0,50,0,0,187,0,0
188,144,0,50,0,0,188,0,186,182,0,50,0,0,186,0,0
188,144,0,50,0,0,188,0,186,182,0,50,0,0,186,0,0
185,144,0,50,0,0,185,0,183,182,0,50,0,0,183,0,0
184,144,0,50,0,0,184,0,181,182,0,50,0,0,181,0,0
183,144,0,50,0,0,183,0,180,182,0,50,0,0,180,25,0
184,144,0,50,0,0,184,0,181,182,0,50,0,0,181,60,0
185,144,0,50,0,0,185,0,183,182,0,50,0,0,183,35,0
185,144,0,50,0,0,185,0,184,182,0,50,0,0,184,0,0
184,144,0,50,0,0,184,0,182,182,0,50,0,0,182,0,0
182,144,0,50,0,0,182,0,181,182,0,50,0,0,181,0,0
179,144,0,50,0,0,179,0,178,182,0,50,0,0,178,42,0
177,144,0,50,0,0,177,0,175,182,0,50,0,0,175,183,0
172,144,0,50,0,0,172,0,170,182,0,50,0,0,170,314,0
172,144,0,50,0,0,172,0,169,182,0,50,0,0,169,589,0
170,144,0,50,0,0,170,0,168,182,1,50,0,0,168,623,0
167,144,0,50,0,0,167,0,164,182,1,50,0,0,164,685,0
167,144,0,50,0,0,167,0,165,182,1,50,0,0,165,862,0
168,144,0,50,0,0,168,0,168,182,1,50,0,0,168,805,0
169,144,0,50,0,0,169,0,170,182,1,50,0,0,170,694,0
171,144,0,50,0,0,171,0,172,182,0,50,0,0,172,582,0
177,144,0,50,0,0,177,0,177,182,0,50,0,0,177,466,0
180,144,0,50,0,0,180,0,180,182,0,50,0,0,180,219,0
184,144,0,50,0,0,184,0,184,182,0,50,0,0,184,73,0
186,144,0,50,0,0,186,0,185,182,0,50,0,0,185,0,0
186,144,0,50,0,0,186,0,185,182,0,50,0,0,185,0,0
187,144,0,50,0,0,187,0,186,182,0,50,0,0,186,0,0
188,144,0,50,0,0,188,0,186,182,0,50,0,0,186,0,0
190,144,0,50,0,0,190,0,188,182,0,50,0,0,188,0,0
190,144,0,50,0,0,190,0,188,182,0,50,0,0,188,0,0
189,144,0,50,0,0,189,0,188,182,0,50,0,0,188,0,0
185,144,0,50,0,0,185,0,183,182,0,50,0,0,183,0,0
179,144,0,50,0,0,179,0,177,182,0,50,0,0,177,0,0
179,144,0,50,0,0,179,0,177,182,0,50,0,0,177,246,0
181,144,0,50,0,0,181,0,180,182,0,50,0,0,180,216,0
182,144,0,50,0,0,182,0,181,182,0,50,0,0,181,69,0
181,144,0,50,0,0,181,0,180,182,0,50,0,0,180,35,0
181,144,0,50,0,0,181,0,180,182,0,50,0,0,180,76,0
181,144,0,50,0,0,181,0,180,182,0,50,0,0,180,76,0
181,144,0,50,0,0,181,0,180,182,0,50,0,0,180,94,0
182,144,0,50,0,0,182,0,181,182,0,50,0,0,181,82,0
181,144,0,50,0,0,181,0,180,182,0,50,0,0,180,50,0
181,144,0,50,0,0,181,0,179,182,0,50,0,0,179,98,0
180,144,0,50,0,0,180,0,178,182,0,50,0,0,178,148,0
181,144,0,50,0,0,181,0,179,182,0,50,0,0,179,180,0
182,144,0,50,0,0,182,0,180,182,0,50,0,0,180,142,0
180,144,0,50,0,0,180,0,178,182,0,50,0,0,178,82,0
180,144,0,50,0,0,180,0,178,182,0,50,0,0,178,180,0
179,144,0,50,0,0,179,0,176,182,0,50,0,0,176,194,0
179,144,0,50,0,0,179,0,175,182,0,50,0,0,175,303,0
182,144,0,50,0,0,182,0,179,182,0,50,0,0,179,126,0
184,144,0,50,0,0,184,0,181,182,0,50,0,0,181,33,0
182,144,0,50,0,0,182,0,179,182,0,50,0,0,179,126,0
182,144,0,50,0,0,182,0,179,182,0,50,0,0,179,137,0
183,144,0,50,0,0,183,0,179,182,0,50,0,0,179,126,0
181,144,0,50,0,0,181,0,177,182,0,50,0,0,177,228,0
181,144,0,50,0,0,181,0,176,182,1,50,0,0,176,296,0
183,144,0,50,0,0,183,0,179,182,1,50,0,0,179,142,0
185,144,0,50,0,0,185,0,181,182,1,50,0,0,181,30,0
184,144,0,50,0,0,184,0,181,182,1,50,0,0,181,42,0
183,144,0,50,0,0,183,0,179,182,1,50,0,0,179,92,0
180,144,0,50,0,0,180,0,177,182,1,50,0,0,177,221,0
177,144,0,50,0,0,177,0,174,182,1,50,0,0,174,267,0
176,144,0,50,0,0,176,0,170,182,1,50,0,0,170,596,0
173,144,0,50,0,0,173,0,170,182,1,50,0,0,170,537,0
171,144,0,50,0,0,171,0,168,182,1,50,0,0,168,657,0
170,144,0,50,0,0,170,0,168,182,1,50,0,0,168,678,0
175,144,0,50,0,0,175,0,175,182,1,50,0,0,175,332,0
179,144,0,50,0,0,179,0,179,182,1,50,0,0,179,133,0
183,144,0,50,0,0,183,0,183,182,0,50,0,0,183,0,0
184,144,0,50,0,0,184,0,185,182,0,50,0,0,185,0,0
186,144,0,50,0,0,186,0,185,182,0,50,0,0,185,0,0
186,144,0,50,0,0,186,0,186,182,0,50,0,0,186,0,0
185,144,0,50,0,0,185,0,183,182,0,50,0,0,183,0,0
187,144,0,50,0,0,187,0,185,182,0,50,0,0,185,0,0
188,144,0,50,0,0,188,0,187,182,0,50,0,0,187,0,0
188,144,0,50,0,0,188,0,186,182,0,50,0,0,186,0,0
185,144,0,50,0,0,185,0,183,182,0,50,0,0,183,0,0
184,144,0,50,0,0,184,0,182,182,0,50,0,0,182,0,0
185,144,0,50,0,0,185,0,183,182,0,50,0,0,183,0,0
184,144,0,50,0,0,184,0,183,182,0,50,0,0,183,0,0
183,144,0,50,0,0,183,0,181,182,0,50,0,0,181,48,0
180,144,0,50,0,0,180,0,179,182,0,50,0,0,179,150,0
